Codice Provincia;Codice Istat del Comune;Denominazione;Sigla Automobilistica della Provincia
019;019913;Stilo de' Mariani;CR
019;019914;Torre d’Angiolini;CR
019;019915;Tredossi;CR
019;019916;Trezzolasco;CR
019;019917;Triburgo;CR
019;019918;Vairano Cremasco;CR
019;019920;Vidiceto;CR
019;019921;Vidolasco;CR
019;019922;Vighizzolo;CR
019;019923;Villa Rocca;CR
019;019924;Zanengo;CR
019;019925;Zappello;CR
019;019926;Vho;CR
020;020005;Borgoforte;MN
020;020023;Felonica;MN
020;020040;Pieve di Coriano;MN
020;020049;Revere;MN
020;020067;Villa Poma;MN
020;020069;Virgilio;MN
020;020801;Casalpoglio;MN
021;021078;San Felice/St. Felix;BZ
021;021090;Senale/U.L.Frau im Walde;BZ
021;021801;Acereto/Ahornach;BZ
021;021802;Albes/Albeins;BZ
021;021803;Alliz/Allitz;BZ
021;021804;Anterselva/Antholz;BZ
021;021805;Burgusio/Burgeis;BZ
021;021806;Caminata in Tures/Kematen;BZ
021;021807;Castelbello/Kastelbell;BZ
021;021808;Casteldarne/Ehrenburg;BZ
021;021809;Cauria/Gfrill;BZ
021;021810;Cengles/Tschengls;BZ
021;021811;Ceves/Tschöfs;BZ
021;021812;Ciardes/Tschars;BZ
021;021813;Clusio/Schleis;BZ
021;021814;Coldrano/Goldrain;BZ
021;021815;Colfosco/Colfosco;BZ
021;021816;Colle in Casies/Pichl in Gsies;BZ
021;021817;Colli in Pusteria/Pichlern;BZ
021;021818;Colsano/Galsaun;BZ
021;021819;Corti in Pusteria/Hofern;BZ
021;021820;Corvara in Passiria/Rabenstein ;BZ
021;021821;Corzes/Kortsch;BZ
021;021822;Covelano/Göflan;BZ
021;021823;Curon/Graun;BZ
021;021824;Elle/Ellen;BZ
021;021825;Eores/Afers;BZ
021;021826;Favogna di Sotto/Unterfennberg;BZ
021;021827;Fleres/Pflersch;BZ
021;021828;Foiana/Völlan;BZ
021;021829;Fundres/Pfunders;BZ
021;021830;Gries/Gries;BZ
021;021831;Grimaldo/Greinwalden;BZ
021;021832;Gudon/Gufidaun;BZ
021;021833;Issengo/Issing;BZ
021;021834;Lacinigo/Latschinig;BZ
021;021835;Lappago/Lappach;BZ
021;021836;Laudes/Laatsch;BZ
021;021837;Lazfons/Latzfons;BZ
021;021838;Longiarù/Campill;BZ
021;021839;Lutago/Luttach;BZ
021;021840;Magrè/Margreid;BZ
021;021841;Maia Alta/Obermais;BZ
021;021842;Maia Bassa/Untermais;BZ
021;021843;Mallas/Mals;BZ
021;021844;Mantana/Monthal;BZ
021;021845;Maranza/Meransen;BZ
021;021846;Mareta/Mareit;BZ
021;021847;Mazia/Matsch;BZ
021;021848;Millan-Sarnes/Milland-Sarns;BZ
021;021849;Molini di Tures/Mühlen;BZ
021;021850;Monghezzo di Fuori/Getzenberg;BZ
021;021851;Montassilone/Tesselberg;BZ
021;021852;Monte di Mezzodì/Sonnenberg;BZ
021;021853;Monte di Tramontana/Nördersberg;BZ
021;021854;Monte San Candido/Innichberg;BZ
021;021855;Montechiaro/Lichtenberg;BZ
021;021856;Montefontana/Tomberg;BZ
021;021857;Monteponente/Pfeffersberg;BZ
021;021858;Morter/Morter;BZ
021;021859;Mules/Mauls;BZ
021;021860;Naz/Natz;BZ
021;021861;Novacella/Neustift;BZ
021;021862;Onies/Onach;BZ
021;021863;Oris/Eyrs;BZ
021;021864;Planol/Planeil;BZ
021;021865;Plata/Platt;BZ
021;021866;Prati/Wiesen;BZ
021;021867;Prato alla Drava/Winnebach;BZ
021;021868;Prato di Venosta/Prad;BZ
021;021869;Quarazze/Gratsch;BZ
021;021870;Rasun di Sopra/Oberrasen;BZ
021;021871;Rasun di Sotto/Niederrasen;BZ
021;021872;Rasun Valdaora/Rasen Olang;BZ
021;021873;Resia/Reschen;BZ
021;021874;Ridanna/Riednaun;BZ
021;021875;Rina/Welschellen;BZ
021;021876;Riomolino/Mühlbach;BZ
021;021877;Riscone/Reischach;BZ
021;021878;Riva di Tures/Rain;BZ
021;021879;San Valentino alla Mutta/St. Valentin auf der Haide;BZ
021;021881;San Giacomo/St. Jakob in Ahrn;BZ
021;021882;San Giorgio/St. Georgen;BZ
021;021883;San Giovanni/St. Johann in Ahrn;BZ
021;021884;San Leonardo/St. Leonhard;BZ
021;021885;San Lugano/St. Lugano;BZ
021;021886;San Martino al Monte/St. Martin am Vorberg;BZ
021;021887;San Martino in Casies/St. Martin in Gsies;BZ
021;021888;San Pietro/St. Peter in Ahrn;BZ
021;021889;San Sigismondo/St. Sigmund;BZ
021;021890;San Valentino al Brennero/Brenner;BZ
021;021891;Sant'Andrea in Monte/St. Andrä;BZ
021;021892;Santa Maddalena in Casies/St. Magdalena in Gsies;BZ
021;021893;Scaleres/Schalders;BZ
021;021894;Sciaves/Schabs;BZ
021;021896;Slingia/Schlinig;BZ
021;021897;Spinga/Spinges;BZ
021;021898;Stava/Staben;BZ
021;021899;Stilves/Stilfes;BZ
021;021900;Tablà/Tabland;BZ
021;021901;Tanas/Tannas;BZ
021;021902;Tarces/Tartsch;BZ
021;021903;Tarres/Tarsch;BZ
021;021904;Telves/Telfes;BZ
021;021905;Teodone/Dietenheim;BZ
021;021906;Tesido/Taisten;BZ
021;021907;Tiso/Teis;BZ
021;021908;Trens/Trens;BZ
021;021909;Tunes/Thuins;BZ
021;021910;Valas/Flaas;BZ
021;021911;Valgiovo/Jaufenthal;BZ
021;021912;Vallarga/Weitental;BZ
021;021913;Valle San Silvestro/Wahlen;BZ
021;021914;Vallelunga/Langtaufers;BZ
021;021915;Valles/Vals;BZ
021;021916;Vandoies di Sopra/Obervintl;BZ
021;021917;Vandoies di Sotto/Niedervintl;BZ
021;021918;Vanga/Wangen;BZ
021;021920;Vezzano/Vezzan;BZ
021;021921;Villa Ottone/Uttenhein;BZ
021;021922;Villa Santa Caterina/Aufhofen;BZ
021;021923;Vizze/Pfitsch;BZ
021;021924;Versciaco/Vierschach;BZ
022;022004;Amblar;TN
022;022008;Banco;TN
022;022010;Baselga di Vezzano;TN
022;022012;Bersone;TN
022;022014;Bezzecca;TN
022;022016;Bleggio Inferiore;TN
022;022019;Bolbeno;TN
022;022020;Bondo;TN
022;022023;Bosentino;TN
022;022024;Breguzzo;TN
022;022028;Brione;TN
022;022031;Calavino;TN
022;022044;Casez;TN
022;022055;Cembra;TN
022;022056;Centa San Nicolò;TN
022;022057;Cimego;TN
022;022065;Concei;TN
022;022066;Condino;TN
022;022067;Coredo;TN
022;022069;Cunevo;TN
022;022072;Daone;TN
022;022073;Darè;TN
022;022075;Dimaro;TN
022;022076;Don;TN
022;022077;Dorsino;TN
022;022082;Faver;TN
022;022084;Fiera di Primiero;TN
022;022086;Flavon;TN
022;022094;Grauno;TN
022;022096;Grumes;TN
022;022099;Ivano-Fracena;TN
022;022100;Lardaro;TN
022;022101;Lasino;TN
022;022105;Lisignago;TN
022;022107;Lomaso;TN
022;022119;Molina di Ledro;TN
022;022121;Monclassico;TN
022;022122;Montagne;TN
022;022125;Nanno;TN
022;022132;Padergnone;TN
022;022140;Pieve di Bono;TN
022;022141;Pieve di Ledro;TN
022;022145;Pozza di Fassa;TN
022;022146;Praso;TN
022;022148;Preore;TN
022;022149;Prezzo;TN
022;022151;Ragoli;TN
022;022158;Roncone;TN
022;022166;San Lorenzo in Banale;TN
022;022174;Siror;TN
022;022175;Smarano;TN
022;022178;Spera;TN
022;022185;Strigno;TN
022;022186;Taio;TN
022;022187;Tassullo;TN
022;022192;Terlago;TN
022;022194;Terres;TN
022;022197;Tiarno di Sopra;TN
022;022198;Tiarno di Sotto;TN
022;022201;Tonadico;TN
022;022204;Transacqua;TN
022;022206;Tres;TN
022;022207;Tuenno;TN
022;022208;Valda;TN
022;022212;Vattaro;TN
022;022214;Vervò;TN
022;022215;Vezzano;TN
022;022217;Vigo di Fassa;TN
022;022218;Vigolo Baselga;TN
022;022219;Vigolo Vattaro;TN
022;022220;Vigo Rendena;TN
022;022221;Villa Agnedo;TN
022;022223;Villa Rendena;TN
022;022227;Zuclo;TN
022;022801;Agrone;TN
022;022802;Almazzago;TN
022;022803;Andogno;TN
022;022804;Arnago;TN
022;022805;Beseno;TN
022;022806;Biacesa;TN
022;022807;Bleggio;TN
022;022808;Bolentina;TN
022;022809;Bondo Breguzzo;TN
022;022810;Borghetto;TN
022;022811;Borzago;TN
022;022812;Bozzana;TN
022;022813;Cadine;TN
022;022814;Celledizzo;TN
022;022815;Campo;TN
022;022816;Canezza;TN
022;022817;Carciato;TN
022;022818;Castagnè;TN
022;022819;Castellano;TN
022;022820;Castello;TN
022;022821;Celentino;TN
022;022822;Chienis;TN
022;022823;Chizzola;TN
022;022824;Ciago;TN
022;022825;Cognola;TN
022;022826;Cogolo;TN
022;022827;Cologna in Giudicarie;TN
022;022828;Cologna-Gavazzo;TN
022;022829;Comano;TN
022;022830;Comasine;TN
022;022831;Costasavina;TN
022;022832;Covelo;TN
022;022833;Creto;TN
022;022834;Dardine;TN
022;022835;Darzo;TN
022;022836;Deggiano;TN
022;022837;Dercolo;TN
022;022838;Dermulo;TN
022;022839;Enguiso;TN
022;022840;Falesina;TN
022;022841;Fisto;TN
022;022842;Forno;TN
022;022843;Fraveggio;TN
022;022844;Gardolo al Piano;TN
022;022845;Grumo;TN
022;022846;Iavrè;TN
022;022847;Ischia;TN
022;022848;Legos;TN
022;022849;Lenzima;TN
022;022850;Lenzumo;TN
022;022851;Lizzana;TN
022;022852;Locca;TN
022;022853;Lodrone;TN
022;022854;Lon;TN
022;022855;Lover;TN
022;022856;Lundo;TN
022;022857;Madrano;TN
022;022858;Madruzzo;TN
022;022859;Magras;TN
022;022860;Malgolo;TN
022;022861;Manzano;TN
022;022862;Marano;TN
022;022863;Marco;TN
022;022864;Margone;TN
022;022865;Masi di Vigo;TN
022;022866;Mastellina;TN
022;022867;Mattarello;TN
022;022868;Meano;TN
022;022869;Mechel;TN
022;022870;Mestriago;TN
022;022871;Mezzano Imer;TN
022;022872;Mezzolago;TN
022;022873;Miola;TN
022;022874;Mollaro;TN
022;022875;Montes;TN
022;022876;Mortaso;TN
022;022877;Noarna;TN
022;022878;Nogarè;TN
022;022879;Nomesino;TN
022;022880;Noriglio;TN
022;022881;Oltresarca;TN
022;022882;Patone;TN
022;022883;Pederzano;TN
022;022884;Perra;TN
022;022885;Piano;TN
022;022886;Pilcante;TN
022;022887;Por;TN
022;022888;Povo;TN
022;022889;Pranzo;TN
022;022890;Prè;TN
022;022891;Pregasina;TN
022;022892;Preghena;TN
022;022893;Premione;TN
022;022894;Presson;TN
022;022895;Primiero;TN
022;022896;Priò;TN
022;022897;Quetta;TN
022;022898;Ranzo;TN
022;022899;Ravina;TN
022;022900;Reviano Folas;TN
022;022901;Romagnano;TN
022;022902;Romarzolo;TN
022;022903;Roncogno;TN
022;022904;Ronzo;TN
022;022905;Rover Carbonare;TN
022;022906;Samoclevo;TN
022;022907;San Giacomo;TN
022;022908;Santa Margherita;TN
022;022909;Saone;TN
022;022910;Sardagna;TN
022;022911;Sasso;TN
022;022912;Scelmo;TN
022;022913;Segno;TN
022;022914;Seio;TN
022;022915;Seo;TN
022;022916;Serravalle all’Adige;TN
022;022917;Serso;TN
022;022918;Sevignano;TN
022;022919;Sopramonte;TN
022;022920;Strada;TN
022;022921;Stramentizzo;TN
022;022922;Stumiaga;TN
022;022923;Susà;TN
022;022924;Tavodo;TN
022;022925;Tavon;TN
022;022926;Termenago;TN
022;022927;Termon;TN
022;022928;Tiarno;TN
022;022929;Torra;TN
022;022930;Toss;TN
022;022931;Tuenetto;TN
022;022932;Valle San Felice;TN
022;022933;Vasio;TN
022;022934;Verdesina;TN
022;022935;Viarago;TN
022;022936;Vigalzano;TN
022;022937;Vignola;TN
022;022938;Vigo d’Anaunia;TN
022;022939;Villa Banale;TN
022;022940;Villazzano;TN
022;022941;Ville del Monte;TN
022;022942;Vion;TN
023;023801;Avesa;VR
023;023802;Belluno Veronese;VR
023;023803;Bevilacqua-Boschi;VR
023;023804;Brentino;VR
023;023805;Breonio;VR
023;023806;Ca' di David;VR
023;023807;Castione Veronese;VR
023;023808;Correzzo;VR
023;023809;Marcellise;VR
023;023810;Mizzole;VR
023;023811;Montorio Veronese;VR
023;023812;Negarine;VR
023;023813;Parona di Valpolicella;VR
023;023814;Prun;VR
023;023815;Quinto di Valpantena;VR
023;023816;Quinzano Veronese;VR
023;023817;San Massimo all'Adige;VR
023;023818;San Michele Extra;VR
023;023819;Santa Maria in Stelle;VR
024;024011;Barbarano Vicentino;VI
024;024045;Grancona;VI
024;024069;Mossano;VI
024;024092;San Germano dei Berici;VI
024;024109;Tretto;VI
024;024801;Casotto;VI
024;024802;Crosara;VI
024;024803;Forni di Val d'Astico;VI
024;024804;Magrè Vicentino;VI
024;024805;Novale;VI
024;024806;Treschè Conca;VI
024;024807;Vallonara;VI
024;024808;Valrovina;VI
025;025009;Castellavazzo;BL
025;025020;Farra d'Alpago;BL
025;025024;Forno di Zoldo;BL
025;025031;Longarone;BL
025;025038;Pieve d'Alpago;BL
025;025041;Puos d'Alpago;BL
025;025042;Quero;BL
025;025064;Vas;BL
025;025068;Zoldo Alto;BL
026;026801;Ceneda;TV
026;026802;Piavon;TV
026;026803;Revine;TV
026;026804;San Giorgio di Lago;TV
026;026805;San Pietro di Barbozza;TV
026;026806;Sant’Andrea di Cavasagra;TV
026;026807;Serravalle;TV
026;026808;Spercenigo;TV
027;027801;Burano;VE
027;027802;Chirignago;VE
027;027803;Favaro Veneto;VE
027;027804;Malamocco;VE
027;027805;Mestre;VE
027;027806;Murano;VE
027;027807;Pellestrina;VE
027;027808;Zelarino;VE
027;027809;Gambarare;VE
027;027810;Oriago;VE
028;028024;Carrara San Giorgio;PD
028;028025;Carrara Santo Stefano;PD
028;028051;Megliadino San Fidenzio;PD
028;028074;Saletto;PD
028;028081;Santa Margherita d'Adige;PD
028;028801;San Michele delle Badesse;PD
029;029016;Contarina;RO
029;029020;Donada;RO
029;029801;Bellombra;RO
029;029802;Boara Polesine;RO
029;029803;Borsea;RO
029;029804;Bottrighe;RO
029;029805;Buso Sarzano;RO
029;029806;Ca' Emo;RO
029;029807;Concadirame;RO
029;029808;Crocetta;RO
029;029809;Grignano di Polesine;RO
029;029810;Massa Superiore;RO
029;029811;Ramo di Palo;RO
029;029812;Salvaterra;RO
029;029813;Sant’Apollinare con Selva;RO
029;029814;Villa d’Adige;RO
029;029815;Saguedo;RO
030;030017;Campolongo al Torre;UD
030;030038;Fiumicello;UD
030;030050;Ligosullo;UD
030;030096;Rivignano;UD
030;030115;Tapogliano;UD
030;030119;Teor;UD
030;030125;Treppo Carnico;UD
030;030134;Villa Vicentina;UD
030;030801;Camporosso in Valcanale;UD
030;030802;Castel del Monte Udinese;UD
030;030803;Cesclans;UD
030;030804;Ciseriis;UD
030;030805;Feletto Umberto;UD
030;030806;Fusine in Valromana;UD
030;030807;Ioannis;UD
030;030808;Ipplis;UD
030;030809;Laglesie San Leopoldo;UD
030;030810;Malborghetto;UD
030;030811;Mione;UD
030;030812;Muscoli Strassoldo;UD
030;030813;Perteole;UD
030;030814;Pontebba Nova;UD
030;030815;Raccolana;UD
030;030816;Rivolto;UD
030;030817;Rodda;UD
030;030818;Scodovacca;UD
030;030819;Segnacco;UD
030;030820;Tarcetta;UD
030;030821;Ugovizza Valbruna;UD
031;031701;Aidussina;GO
031;031702;Bergogna;GO
031;031703;Cal di Canale;GO
031;031704;Canale d'Isonzo;GO
031;031705;Caporetto;GO
031;031706;Castel Dobra;GO
031;031707;Cernizza Goriziana;GO
031;031708;Chiapovano;GO
031;031709;Circhina;GO
031;031710;Comeno;GO
031;031711;Gargaro;GO
031;031712;Gracova Serravalle;GO
031;031713;Idria;GO
031;031714;Merna;GO
031;031715;Montenero d'Idria;GO
031;031716;Montespino;GO
031;031717;Opacchiasella;GO
031;031718;Plezzo;GO
031;031719;Ranziano;GO
031;031720;Rifembergo;GO
031;031721;Salona d'Isonzo;GO
031;031722;Sambasso;GO
031;031723;San Daniele del Carso;GO
031;031724;San Martino Quisca;GO
031;031725;San Vito di Vipacco;GO
031;031726;Santa Croce di Aidussina;GO
031;031727;Santa Lucia d'Isonzo;GO
031;031728;Sonzia;GO
031;031729;Tarnova della Selva;GO
031;031730;Temenizza;GO
031;031731;Tolmino;GO
031;031732;Vipacco;GO
031;031733;Zolla;GO
031;031801;Brazzano;GO
031;031802;Corona;GO
031;031803;Cosbana nel Collio;GO
031;031804;Lucinico;GO
031;031805;Piedimonte del Calvario;GO
031;031806;Romans;GO
031;031807;Salcano;GO
031;031808;San Pietro di Gorizia;GO
031;031809;Sant’Andrea di Gorizia;GO
031;031810;Versa;GO
031;031811;Vertoiba in Campi Santi;GO
031;031812;Aiba;GO
031;031813;Anicova Corada;GO
031;031814;Auzza;GO
031;031815;Battaglia della Bainsizza;GO
031;031816;Biglia;GO
031;031817;Bigliana;GO
031;031818;Boriano;GO
031;031819;Brestovizza in Valle;GO
031;031820;Bretto;GO
031;031821;Budagne;GO
031;031822;Camigna;GO
031;031823;Ceconico;GO
031;031824;Cobbia;GO
031;031825;Creda;GO
031;031826;Descla;GO
031;031827;Dole;GO
031;031828;Dol Grande;GO
031;031829;Dol-Ottelza;GO
031;031830;Dresenza;GO
031;031831;Ersel in Monte;GO
031;031832;Gabria;GO
031;031833;Gabrovizza;GO
031;031834;Godovici;GO
031;031835;Goiaci;GO
031;031836;Goriano;GO
031;031837;Gozza;GO
031;031838;Idresca d'Isonzo;GO
031;031839;Idria di Sotto;GO
031;031840;Ledine;GO
031;031841;Libussina;GO
031;031842;Locavizza di Aidussina;GO
031;031843;Locavizza di Canale;GO
031;031844;Lose;GO
031;031845;Luico;GO
031;031846;Medana;GO
031;031847;Monte San Vito;GO
031;031848;Monte Urabice;GO
031;031849;Oltresonzia;GO
031;031850;Ossecca Vittuglia;GO
031;031851;Ossegliano San Michele;GO
031;031852;Paniqua;GO
031;031853;Planina;GO
031;031854;Pliscovizza della Madonna;GO
031;031855;Pocrai del Piro;GO
031;031856;Podraga;GO
031;031857;Prevacina;GO
031;031858;Ronzina;GO
031;031859;Sable Grande;GO
031;031860;Saga;GO
031;031861;Samaria;GO
031;031862;Santo Spirito della Bainsizza;GO
031;031863;Scherbina;GO
031;031864;Scrilla;GO
031;031865;Sebreghe;GO
031;031866;Sedula;GO
031;031867;Sella delle Trincee;GO
031;031868;Serpenizza;GO
031;031869;Slappe Zorzi;GO
031;031870;Sturia delle Fusine;GO
031;031871;Ternova d'Isonzo;GO
031;031872;Trenta d'Isonzo;GO
031;031873;Tribussa;GO
031;031874;Ustie;GO
031;031875;Verpogliano;GO
031;031876;Vertovino;GO
031;031877;Ville Montevecchio;GO
031;031878;Voissizza di Comeno;GO
031;031879;Volzana;GO
031;031880;Voschia;GO
032;032701;Bucuie;TS
032;032702;Cave Auremiane;TS
032;032703;Corgnale;TS
032;032704;Cossana;TS
032;032705;Crenovizza;TS
032;032706;Divaccia Grotte del Timavo;TS
032;032707;Duttogliano;TS
032;032708;Postumia Grotte;TS
032;032709;San Giacomo in Colle;TS
032;032710;San Michele di Postumia;TS
032;032711;San Pietro del Carso;TS
032;032712;Senosecchia;TS
032;032713;Sesana;TS
032;032714;Tomadio;TS
032;032715;Villa Slavina;TS
032;032801;Aurisina;TS
032;032802;Duino;TS
032;032803;Malchina;TS
032;032804;San Pelagio;TS
032;032805;Slivia;TS
032;032806;Alber di Sesana;TS
032;032807;Auremo di Sopra;TS
032;032808;Caccia;TS
032;032809;Capriva nel Carso;TS
032;032810;Famie;TS
032;032811;Lase;TS
032;032812;Poverio;TS
032;032813;Roditti;TS
032;032814;Scoppo;TS
032;032815;Senadole;TS
032;032816;Storie;TS
032;032817;Villabassa di Senosecchia;TS
033;033009;Caminata;PC
033;033029;Nibbiano;PC
033;033031;Pecorara;PC
033;033801;Borgo San Bernardino;PC
033;033802;Mortizza;PC
033;033803;San Lazzaro Alberoni;PC
033;033804;Sant’Antonio a Trebbia;PC
033;033805;Trebecco;PC
034;034029;Polesine Parmense;PR
034;034034;Sissa;PR
034;034043;Trecasali;PR
034;034048;Zibello;PR
034;034801;Boccolo de' Tassi;PR
034;034802;Cortile San Martino;PR
034;034803;Golese;PR
034;034804;Marore;PR
034;034805;Pione;PR
034;034806;San Donato d'Enza;PR
034;034807;San Lazzaro Parmense;PR
034;034808;San Martino Sinzano;PR
034;034809;San Pancrazio Parmense;PR
034;034810;Vigatto;PR
035;035007;Busana;RE
035;035019;Collagna;RE
035;035025;Ligonchio;RE
035;035031;Ramiseto;RE
035;035801;Gazzano;RE
037;037004;Bazzano;BO
037;037018;Castello di Serravalle;BO
037;037023;Crespellano;BO
037;037029;Granaglione;BO
037;037043;Monteveglio;BO
037;037049;Porretta Terme;BO
037;037058;Savigno;BO
037;037801;Borgo Panigale;BO
037;037802;Musiano;BO
038;038013;Massa Fiscaglia;FE
038;038015;Migliarino;FE
038;038016;Mirabello;FE
038;038021;Sant'Agostino;FE
038;038026;Migliaro;FE
040;040801;Fiumana;FC
040;040802;Mortano;FC
040;040803;Roversano;FC
040;040804;Sorbano;FC
040;040805;Teodorano;FC
041;041004;Barchi;PU
041;041012;Colbordolo;PU
041;041037;Montemaggiore al Metauro;PU
041;041040;Orciano di Pesaro;PU
041;041046;Piagge;PU
041;041050;Saltara;PU
041;041052;San Giorgio di Pesaro;PU
041;041056;Sant'Angelo in Lizzola;PU
041;041062;Serrungarina;PU
041;041801;Candelara;PU
041;041802;Casteldimezzo;PU
041;041803;Fenigli;PU
041;041804;Fiorenzuola di Focara;PU
041;041805;Ginestreto;PU
041;041806;Isola di Fano;PU
041;041807;Montalfoglio;PU
041;041808;Montalto Tarugo;PU
041;041809;Monte Montanaro;PU
041;041810;Montebello Metaurense;PU
041;041811;Montefabbri;PU
041;041812;Monteguiduccio;PU
041;041813;Monterolo;PU
041;041814;Montesecco Antico;PU
041;041815;Montevecchio;PU
041;041816;Novillara;PU
041;041817;Pozzo Alto;PU
041;041818;San Vito sul Cesano;PU
041;041819;Sant’Andrea di Suasa;PU
041;041820;Scavolino;PU
041;041821;Sorbolongo;PU
041;041822;Torre San Marco;PU
041;041823;Frontone-Serra;PU
042;042009;Castel Colonna;AN
042;042028;Monterado;AN
042;042039;Ripe;AN
042;042801;Montesicuro;AN
042;042802;Paterno d'Ancona;AN
042;042803;Rosora Mergo;AN
043;043001;Acquacanina;MC
043;043018;Fiordimonte;MC
043;043037;Pievebovigliana;MC
043;043801;Porto Civitanova;MC
044;044801;Alteta;AP
044;044802;Capradosso;AP
044;044803;Castel di Croce;AP
044;044804;Lisciano del Tronto;AP
044;044805;Montacuto;AP
044;044806;Montadamo;AP
044;044807;Montecalvo del Castellano;AP
044;044808;Moregnano;AP
044;044809;Mozzano;AP
044;044810;Osoli;AP
044;044811;Pagliare;AP
044;044812;Patrignone;AP
044;044813;Porchia;AP
044;044814;Porchiano dell'Ascensione;AP
044;044815;Quintodecimo;AP
044;044816;Ripaberarda;AP
044;044817;Roccareonile;AP
044;044818;Sant’Elpidio Morico;AP
044;044819;Santa Maria del Tronto;AP
044;044820;Torre di Palme;AP
045;045801;Albiano di Magra;MS
045;045802;Apuania;MS
045;045803;Terrarossa;MS
046;046012;Fabbriche di Vallico;LU
046;046016;Giuncugnano;LU
046;046029;Sillano;LU
046;046032;Vergemoli;LU
047;047001;Abetone;PT
047;047004;Cutigliano;PT
047;047015;Piteglio;PT
047;047019;San Marcello Pistoiese;PT
047;047801;Montecatini di Val di Nievole;PT
047;047802;Porta al Borgo;PT
047;047803;Porta Carratica;PT
047;047804;Porta Lucchese;PT
047;047805;Porta San Marco;PT
047;047806;Vellano;PT
048;048016;Figline Valdarno;FI
048;048023;Incisa in Val d'Arno;FI
048;048040;San Piero a Sieve;FI
048;048042;Scarperia;FI
048;048801;Brozzi;FI
048;048802;Galluzzo;FI
048;048803;Legnaia;FI
048;048804;Pellegrino da Careggi;FI
048;048805;Rovezzano;FI
049;049015;Rio Marina;LI
049;049016;Rio nell'Elba;LI
050;050007;Casciana Terme;PI
050;050013;Crespina;PI
050;050017;Lari;PI
050;050018;Lorenzana;PI
050;050801;Montecalvoli;PI
050;050802;Santa Luce Orciano;PI
051;051009;Castelfranco di Sopra;AR
051;051019;Laterina;AR
051;051028;Pergine Valdarno;AR
051;051029;Pian di Sco;AR
051;051032;Pratovecchio;AR
051;051036;Stia;AR
051;051801;Castiglion Ubertini;AR
051;051802;Pratovecchio Stia;AR
051;051803;Raggiolo;AR
052;052014;Montalcino;SI
052;052029;San Giovanni d'Asso;SI
052;052801;Masse di Città;SI
052;052802;Masse di San Martino;SI
052;052803;Masse di Siena;SI
054;054801;Castel San Felice;PG
054;054802;Castel San Giovanni di Spoleto;PG
054;054803;Ceselli;PG
054;054804;Collemancio;PG
054;054805;Montesanto Vigi;PG
054;054806;Pascelupo;PG
054;054807;Piedipaterno sul Nera;PG
055;055801;Capitone;TR
055;055802;Carnaiola;TR
055;055803;Castel di Lago;TR
055;055804;Cesi;TR
055;055805;Collescipoli;TR
055;055806;Collestatte;TR
055;055807;Montegiove;TR
055;055808;Monterubbiaglio;TR
055;055809;Papigno;TR
055;055810;Piediluco;TR
055;055811;Porchiano del Monte;TR
055;055812;Portaria;TR
055;055813;San Vito in Monte;TR
055;055814;Torre Orsina;TR
056;056801;Bagnaja;VT
056;056802;Castel Cellesi;VT
056;056803;Grotte Santo Stefano;VT
056;056804;Roccalvecce;VT
056;056805;San Martino al Cimino;VT
056;056806;San Michele in Teverina;VT
057;057801;Bocchignano;RI
057;057802;Castel San Benedetto Reatino;RI
057;057803;Cerchiara in Sabina;RI
057;057804;Collebaccaro;RI
057;057805;Monte Santa Maria in Sabina;RI
057;057806;Oliveto in Sabina;RI
057;057807;Poggio Fidoni;RI
057;057808;Posticciola;RI
057;057809;Rocchette;RI
057;057810;San Giovanni Reatino;RI
057;057811;Sant’Elia Reatino;RI
057;057812;Vazia;RI
058;058121;Boville;RM
058;058801;Montecelio;RM
058;058802;Nettunia;RM
059;059801;Castellonorato;LT
059;059802;Elena;LT
059;059803;Maranola;LT
060;060801;Roccaguglielma;FR
060;060802;San Pietro in Curolis;FR
060;060803;Sant’Andrea di Vallefredda;FR
060;060804;Viticuso ed Acquafondata;FR
061;061801;Albanova;CE
061;061802;Arienzo San Felice;CE
061;061803;Atella di Napoli;CE
061;061804;Casalba;CE
061;061805;Fertilia;CE
061;061806;Frignano;CE
061;061807;Lusciano e Ducenta;CE
061;061808;San Leucio;CE
061;061809;Villa Volturno;CE
062;062801;Bagnara di Benevento;BN
062;062802;Civitella Licinio;BN
062;062803;Luzzano;BN
062;062804;Montorso;BN
062;062805;Pastene;BN
062;062806;Perrillo;BN
062;062807;San Marco a Monti;BN
062;062808;Varoni;BN
063;063801;Barra;NA
063;063802;Chiaiano ed Uniti;NA
063;063803;Licignano di Napoli;NA
063;063804;Pianura;NA
063;063805;Piscinola;NA
063;063806;Ponticelli;NA
063;063807;San Giovanni a Teduccio;NA
063;063808;San Pietro a Patierno;NA
063;063809;Sant’Erasmo;NA
063;063810;Secondigliano;NA
063;063811;Sirico;NA
063;063812;Soccavo;NA
063;063813;Testaccio d'Ischia;NA
064;064061;Montoro Inferiore;AV
064;064062;Montoro Superiore;AV
064;064801;Bellizzi Irpino;AV
064;064802;Chianchetelle;AV
064;064803;Migliano;AV
064;064804;Quaglietta;AV
064;064805;San Barbato;AV
064;064806;San Pietro Irpino;AV
064;064807;Sant'Agata Irpina;AV
064;064808;Tavernola San Felice;AV
065;065801;Capitello;SA
065;065802;Castelruggiero;SA
065;065803;Fogna;SA
065;065804;Galdo;SA
065;065805;Licusati;SA
